artist,title,lines,words,total_LQI,codeswitch_score,repetition_score,cadence_text_score,rhyme,internal,chain,multi_dens,compound_dens,holorime_dens,syl_density,syl_weight,alliteration,assonance,consonance,onomatopoeia,vocab,wordplay,simile,metaphor,pun,entendre,english,codeswitch,repetition,cadence_var,coherence_cosine,theme_cosine,pairwise_spread,mean_surprisal_nats,callback_cosine
Raftaar,Superman,60,357,33.36,73.98,46.87,79.99,40.03,50.72,0.0,18.64,0.0,0.0,79.62,82.4,97.15,79.56,38.83,0.0,54.0,17.37,0.0,0.0,3.39,0.0,81.48,38.98,12.07,49.99,0.5143,0.5976,0.6539,7.678,
Raftaar,Swag Mera Desi,79,650,33.49,94.94,70.51,95.25,44.44,82.05,13.19,15.19,0.0,0.0,87.6,40.63,93.85,86.15,68.33,29.08,71.15,54.22,3.8,0.0,3.8,6.33,31.14,77.22,20.51,81.01,0.5442,0.705,0.5115,4.1183,
Raftaar,TRAP PRAA,103,521,27.4,83.54,51.7,67.65,55.16,100.0,30.3,12.62,0.0,0.0,42.08,53.66,65.88,60.8,66.45,0.0,90.0,40.78,5.83,0.0,2.91,1.94,42.72,48.54,13.73,37.65,0.4303,0.5893,0.6638,6.779,
Raftaar,Tu Phir Se Aana,68,338,26.93,0.0,19.89,73.41,37.62,5.13,17.58,29.85,0.0,0.0,48.55,81.32,59.1,70.87,15.5,0.0,89.0,15.3,0.0,0.0,2.99,0.0,0.0,0.0,4.55,43.41,0.3721,0.5935,0.6588,7.6546,
Raftaar,Warna Gabbar Aa Jayega,45,225,29.68,77.22,29.83,91.66,15.88,34.48,0.0,4.44,0.0,0.0,51.46,62.69,67.5,84.22,57.99,0.0,69.23,24.44,4.44,0.0,0.0,2.22,32.12,42.22,6.82,66.63,0.4958,0.6967,0.5263,6.997,
Raga,Akatsuki,68,636,33.2,75.3,19.89,100.0,55.79,100.0,40.1,14.93,0.0,0.0,95.0,81.18,98.19,87.27,87.81,23.4,95.12,81.18,4.48,1.49,8.96,1.49,67.9,40.3,4.55,100.0,0.3496,0.5701,0.6864,5.4369,
Raga,Badan,88,492,28.75,92.34,10.17,73.4,45.06,30.3,0.0,39.08,0.0,0.0,51.51,41.42,62.83,33.79,73.89,9.2,90.5,14.08,0.0,0.0,1.15,2.3,39.6,65.52,2.33,43.4,0.5339,0.7154,0.4965,7.7749,
Raga,GTA NCR,58,313,26.83,90.25,37.71,87.94,11.29,7.09,0.0,5.26,0.0,0.0,55.29,52.62,73.0,0.0,28.8,0.0,82.0,61.4,0.0,1.75,7.02,0.0,40.8,56.14,8.93,57.94,0.4969,0.688,0.5363,8.28,
Raga,Jahannum,60,386,31.27,92.09,0.0,74.23,18.05,29.76,0.0,6.78,0.0,0.0,67.24,64.24,78.64,34.35,33.16,26.23,95.21,48.73,1.69,0.0,5.08,1.69,34.43,64.41,0.0,44.23,0.5734,0.75,0.4451,7.1864,
Raga,Jamnapaar,74,477,30.71,90.99,29.97,94.58,28.89,85.59,0.0,6.76,0.0,0.0,64.58,55.0,92.17,89.88,85.34,0.0,95.0,41.55,1.35,0.0,4.05,2.7,21.74,59.46,6.85,78.31,0.4968,0.6984,0.5209,7.7851,
Raga,Rap Ka Mausam,74,424,24.96,91.29,0.0,80.89,29.46,12.35,26.46,10.81,0.0,0.0,51.59,17.0,78.33,27.58,14.18,16.22,68.92,32.43,4.05,2.7,1.35,1.35,48.61,60.81,0.0,50.89,0.5305,0.721,0.4882,7.2394,
Raga,Sheher,78,442,30.79,83.05,34.54,89.71,56.5,65.79,41.35,23.38,0.0,0.0,54.73,52.27,90.34,88.46,68.95,0.0,90.2,53.25,2.6,1.3,5.19,1.3,20.5,48.05,7.89,59.71,0.5845,0.7271,0.4794,7.497,
Raga,Skills,63,373,29.36,94.0,14.11,81.04,18.37,26.46,0.0,9.52,0.0,0.0,55.33,32.67,80.83,45.45,61.67,6.35,89.6,82.05,4.76,0.0,9.52,3.17,36.9,73.02,3.23,51.04,0.4795,0.6701,0.5603,8.2751,
Seedhe Maut,101,65,451,24.66,94.19,6.84,75.55,40.56,47.62,17.49,13.85,0.0,0.0,68.44,36.67,88.75,43.2,86.18,6.15,85.4,75.19,12.31,0.0,1.54,6.15,33.89,73.85,1.56,45.55,0.4679,0.685,0.5398,7.7829,
Seedhe Maut,11K,77,451,25.47,93.36,11.51,78.64,24.57,8.66,11.13,15.58,0.0,0.0,57.5,54.63,79.93,42.07,32.64,0.0,90.8,50.65,2.6,0.0,5.19,1.3,32.97,70.13,2.63,48.64,0.5029,0.6817,0.5444,7.5693,
